ID,Shorthand Code,Grammatical Item,Sentence Type,CEFR-J Level,FREQ*DISP,Core Inventory,EGP,GSELO,Notes
6,PGEN,my/our/your/her/their (except for 'his' and 'its'),,A1.1,A1,A1,A1-C2,A1,his/itsを除く
7,PPO,me/us/him/her/them (except for 'you' and 'it'),,A1.1,A1,A1,A1,A1,you/itを除く
8,DT.this.that_is,This/That is,AFF. DEC.,A1.1,A1,A1,A2,A1,文頭(相当)または接続詞直後の位置に限定
8-1,DT.this.that_is_not,This/That is not,NEG. DEC.,,,A1,A1,A1,文頭(相当)または接続詞直後の位置に限定
8-2,DT.is_this.that,Is this/that ...?,AFF. INT.,,A1,A1,A2,A1,文頭(相当)または接続詞直後の位置に限定・疑問符で終わる文に限定;this/thatの後にNNが続かないものに限定
8-3,DT.isn't_this.that,Isn't this/that ...?,NEG. INT.,,,A1,A2,A1,文頭(相当)または接続詞直後の位置に限定・疑問符で終わる文に限定;this/thatの後にNNが続かないものに限定
9,DT.these.those_are,These/Those are,AFF. DEC.,,A1,A1,B1,A1,文頭(相当)または接続詞直後の位置に限定
9-1,DT.these.those_are_not,These/Those are not,NEG. DEC.,,,A1,A1,A1,文頭(相当)または接続詞直後の位置に限定
9-2,DT.are_these.those,Are these/those ...?,AFF. INT.,,,A1,A2,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;these/thoseの後にNNSが続かないものに限定
9-3,DT.aren't_these.those,Aren't these/those ...?,NEG. INT.,,,A1,B1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;these/thoseの後にNNSが続かないものに限定
10,PP.it_is,It is,AFF. DEC.,A1.1,A1,A1,A1,A1,文頭(相当)または接続詞直後の位置に限定
10-1,PP.it_is_not,It is not,NEG. DEC.,B2.1,A1,A1,A1,A1,文頭(相当)または接続詞直後の位置に限定
10-2,PP.is_it,Is it ...?,AFF. INT.,,B2,A1,A1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
10-3,PP.isn't_it,Isn't it ...?,NEG. INT.,,,A1,A2,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
11,DT.this.that_N,This/That N,AFF. DEC./NEG. DEC.,A2.1,A1,A1,"A1-B1, C2",A1,文頭(相当)または接続詞直後の位置に限定;名詞はNNに限定
12,DT.these.those_N,These/Those N,AFF. DEC./NEG. DEC.,B1.2,A1,A1,A2,,文頭(相当)または接続詞直後の位置に限定;名詞はNNSに限定
13,DT.a.an,INDEFINITE ARTICLES,,A1.1,A1,A1-B2,A1,A1,
14,DT.the,DEFINITE ARTICLES,,A1.1,A1,A1-B1,A1-A2,A1,
15,DT.some.any,DETERMINERS: some/any,,A1.1,A1,A1-A2,A1,A2,代名詞としての用法も含まれる
16,DT.no,DETERMINER: no,,A1.2,A1,,A2,A2,
17,DT.another,DETERMINER: another,,A2.1,A1,A2,B1,A2,代名詞としての用法も含まれる
18,QUANT.much,much UNCOUNTABLE NOUN,,A2.2,A1,A2,A2-B2,A2,
19,QUANT.little,little UNCOUNTABLE NOUN,,,B2,A2,B1-B2,A2,
20,QUANT.few,few PLURAL NOUN,,,B2,A2,B2,A2,a/another/every/nextが先行しないものに限定
21,IN.PREP.GENERAL,PREPOSITIONS,,A1.1,A1,A1-A2,A1-C1,A1-A2,asとtoを除く主要な前置詞; aboard/about/above/across/after/against/along/alongside/amid/amidst/among/amongst/around/at/before/behind/below/beneath/beside/besides/between/beyond/by/despite/down/during/en/ere/except/for/from/in/inside/into/like/minus/near/nearer/nearest/notwithstanding/of/off/on/onto/opposite/out/outside/over/past/per/plus/re/reference/round/sans/save/since/than/through/throughout/till/toward/towards/under/underneath/unlike/until/up/upon/v./versus/via/vs./with/within/without/worthに限定
22,PPOS.mine.etc,POSSESSIVE PRONOUNS (except for 'his' and 'its'),,B1.2,A1,A1-A2,A2-C2,A1,hisとitsを除く;mineはNNと誤認識されることも多い
23,PREFL.oneself.etc,REFLEXIVE PRONOUNS,,B1.1,A2,,A2-C2,B1,
24,PIND.nobody.anything.etc,INDEFINITE PRONOUNS,,A1.2,A1,,A1-C1,A1,some-/every-/any-/no- + -thing/-one/-body
25,PIND.ones,INDEFINITE PRONOUN/PROP-WORDS: ones (except for 'one'),,A2.1,A1,,A2-C2,B1-C1,単数形のoneは数詞との区別ができないため除く;不定代名詞・支柱語(prop word)のタグによる区別はできない
26,PIND.none,INDEFINITE PRONOUN: none,,B2.2,B2,A2,C1,,
27,PREF.each_other,RECIPROCAL PRONOUN: each other,,B1.2,B1,,B1,B1,
28,PREF.one_another,RECIPROCAL PRONOUN: one another,,,,,B2,B1,
29,P.others,PRONOUN: others (excluding 'the,,B1.1,B1,,C1,,theが先行しないものに限定
30,P.the_other.others,PRONOUNS: the other/others,,,B2,,C1-C2,A2,名詞・数詞・形容詞が後続しないものに限定
31,NN.thing_JJ,-thing ADJ,,B1.1,A2,,B1,,
32,RB.FRQ,ADVERBS OF FREQUENCY: always/usually/often/frequently/occasionally/sometimes/rarely,,A1.2,A1,A1ーB1,A1,A1-A2,always/usually/often/frequently/occasionally/sometimes/rarelyに限定
33,RB.INT,ADVERBS: INTENSIFIERS: extremely/greatly/really/so/terribly/too/unbelievably/very,,A1.1,A1,A2-B1,A1-C2,A2,extremely/greatly/really/so/terribly/too/unbelievably/veryに限定;形容詞または副詞が後続するものに限定
34,RB.ATT,ADVERBS OF ATTITUDES: apparently/clearly/fortunately/frankly/unfortunately,,B1.2,B1,A2-B2,A2-C1,A2,apparently/clearly/fortunately/frankly/unfortunatelyに限定
35,RB.NEG,ADVERBS OF NEGATION: never,,A1.2,A1,,N/A,,neverに限定
36,RB.NEG.QU,ADVERBS OF QUASI-NEGATION: hardly/little/scarcely/seldom,,,B2,,"B2, C2",,hardly/little/scarcely/seldomに限定;littleはaが先行しないものに限定
37,COMP.EQ.as_as,COMPARISON OF EQUALITY: as ... as,AFF. DEC,B2.1,B1,,"B1, C2",A2,as many asなどの場合あり
37-1,COMP.EQ.not_as.so_as,COMPARISON OF EQUALITY: not as/so ... as,NEG. DEC./AFF. INT./NEG. DEC.,,B2,,"B1, C2",A2,
38,COMP.JJR.RBR.er,COMPARATIVE OF SUPERIORITY: -er,,A1.3,A1,A1-B1,A2,A1 (adverbs)/A2(adjectives)-B1,moreとlessを除く
39,COMP.JJR.RBR.more,COMPARATIVE OF SUPERIORITY: more+ADJ/ADV,,A2.2,A2,A2-B1,A2,A2,比較級を作る副詞のmoreはJJRと誤認識されることも多い
40,COMP.JJS.RBS.est,SUPERLATIVE OF SUPERIORITY: -est,,A1.1,A1,A1-B1,A2-C1,A2,moreとlessを除く
41,COMP.JJS.RBS.most,SUPERLATIVE OF SUPERIORITY: most+ADJ/ADV,,A2.1,A2,A2-B1,A2,A2,比較級を作る副詞のmostはJJSと誤認識されることも多い
42,COMP.INFER,COMPARATIVE/SUPERLATIVE OF INFERIORITY,,B2.1,B2,,A2,A2,比較級を作る副詞のlessはJJRと誤認識されることも多い
43,RBDEG.enough,ADJ/ADV enough (except for 'not enough'),,B2.1,B2,,B1-C1,A2,{not} enoughを除く;enoughがJJまたはNNと誤認識されていることもある
44,RBDEG.too_to,too ADJ/ADV to+INFINITIVE,,,B1,B1,B1,A2,
45,RBDEG.so_JJ.RB_that,so ADJ/ADV (that) CLAUSE,AFF. DEC.,,B1,,B1,B1,be動詞に続くものに限定;節部分は名詞句・代名詞+(助)動詞・副詞に限定;soがINと誤認識されていることもある
46,RBDEG.such_JJ,such (a/an) ADJ NOUN,,B2.1,B2,,B1,B1,
47,RBDEG.so_JJ_a.an,so ADJ a/an NOUN,,,,,,,
48,RBDEG.too_JJ_a.an,too ADJ a/an NOUN,,,,,,,
49,COMP.and,COMPARATIVE and COMPARATIVE (the same adjective),,,B2,,B1,B1,
50,COMP.the_the,"the COMPARATIVE (...), the COMPARATIVE",,,B2,,B2,,間に入る語句は0~8語に限定
51,COMP.even_JJR.RBR,INTENSIFIED COMPARATIVES: a lot/by far/even/far/much/still,,B1.1,B1,,B1,,a lot/by far/even/far/much/still
52,COMP.by_far_JJS.RBS,INTENSIFIED SUPERLATIVES: by far/far/far and away/much,,,,,B2,,by far/far/far and away/much
53,V.INT.do_does,do/does DO,AFF. DEC.,B2.1,B2,,B1,B1,
54,V.INT.did,did DO,AFF. DEC.,,,,C1,B1,
55,PHV.V_PART,PHRASAL VERBS (V+PARTICLE),,A1.1,A1,A2-C1,B1-B2,,動詞はbeを除く;パーティクルは主要なもの
56,PHV.V_NP_PART,PHRASAL VERBS (V+NP+PARTICLE),,A2.1,A2,A2-C1,A2-C2,B2,動詞はbeを除く;パーティクルは主要なもの
57,PHV.V_PART_PREP,PHRASAL VERBS (V+PARTICLE+PREP+NP),,A1.2,A1,B2,B1-B2,,動詞はbeを除く;パーティクルは主要なもの;前置詞はtoを除く主要なもの
58,TA.PRESENT.be.AFF,TENSE/ASPECT: PRESENT (BE),AFF. DEC.,A1.1,A1,A1,A1,A1,名詞句・代名詞に続くものに限定;現在進行・受動態も含まれる
58-1,TA.PRESENT.be.NEG,TENSE/ASPECT: PRESENT (BE),NEG. DEC.,A1.1,A1,A1,A1,A1,名詞句・代名詞に続くものに限定;現在進行・受動態も含まれる
58-2,TA.PRESENT.be.INT.AFF,TENSE/ASPECT: PRESENT (BE),AFF. INT.,A1.1,A1,A1,N/A,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;現在進行・受動態も含まれる
58-3,TA.PRESENT.be.INT.NEG,TENSE/ASPECT: PRESENT (BE),NEG. INT.,,,A1,N/A,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;現在進行・受動態も含まれる
59,TA.PRESENT.do.AFF,TENSE/ASPECT: PRESENT (lexical verbs),AFF. DEC.,A1.1,A1,A1,A1,A1,名詞句・代名詞に続く一般動詞(be/do/have以外)に限定
59-1,TA.PRESENT.do.NEG,TENSE/ASPECT: PRESENT (lexical verbs),NEG. DEC.,A1.2,A1,A1,A1,A1,名詞句・代名詞に続くものに限定
59-2,TA.PRESENT.do.INT.AFF,TENSE/ASPECT: PRESENT (lexicalverbs),AFF. INT.,A1.2,A1,A1,N/A,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
59-3,TA.PRESENT.do.INT.NEG,TENSE/ASPECT: PRESENT (lexical verbs),NEG. INT.,,,A1,N/A,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
60,TA.PRESENT.does.AFF,TENSE/ASPECT: PRESENT (lexical verbs; third person & singular),AFF. DEC.,A1.1,A1,A1,A1,A1,名詞句・代名詞に続く一般動詞(be/do/have以外)に限定
60-1,TA.PRESENT.does.NEG,TENSE/ASPECT: PRESENT (lexical verbs; third person & singular),NEG. DEC.,B1.1,A1,A1,A1,A1,名詞句・代名詞に続くものに限定
60-2,TA.PRESENT.does.INT.AFF,TENSE/ASPECT: PRESENT (lexical verbs; third person & singular),AFF. INT.,,A1,A1,N/A,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
60-3,TA.PRESENT.does.INT.NEG,TENSE/ASPECT: PRESENT (lexical verbs; third person & singular),NEG. INT.,,,A1,N/A,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
61,TA.PRPRG.AFF,TENSE/ASPECT: PRESENT PROGRESSIVE,AFF. DEC.,A1.3,A1,A1,A1-C2,A1,be going toを除く
61-1,TA.PRPRG.NEG,TENSE/ASPECT: PRESENT PROGRESSIVE,NEG. DEC.,B1.1,A1,A1,A2,A1,be going toを除く
61-2,TA.PRPRG.INT.AFF,TENSE/ASPECT: PRESENT PROGRESSIVE,AFF. INT.,,A1,A1,"A2, C1",A1,be going toを除く;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
61-3,TA.PRPRG.INT.NEG,TENSE/ASPECT: PRESENT PROGRESSIVE,NEG. INT.,,,A1,N/A,A1,be going toを除く;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
62,TA.PRPF.AFF,TENSE/ASPECT: PRESENT PERFECT,AFF. DEC.,A2.1,A1,A2-B1,"B1-B2, C2",A1-A2,現在完了進行も含まれる
62-1,TA.PRPF.NEG,TENSE/ASPECT: PRESENT PERFECT,NEG. DEC.,B1.1,A2,A2-B1,B2,A2,現在完了進行も含まれる
62-2,TA.PRPF.INT.AFF,TENSE/ASPECT: PRESENT PERFECT,AFF. INT.,,A2,A2-B1,N/A,A2,現在完了進行も含まれる;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
62-3,TA.PRPF.INT.NEG,TENSE/ASPECT: PRESENT PERFECT,NEG. INT.,,,A2-B1,N/A,A2,現在完了進行も含まれる;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
63,TA.PRPFPRG.AFF,TENSE/ASPECT: PRESENT PERFECT PROGRESSIVE,AFF. DEC.,B2.1,B2,B1-B2,B1-C2,B2,
63-1,TA.PRPFPRG.NEG,TENSE/ASPECT: PRESENT PERFECT PROGRESSIVE,NEG. DEC.,,,B1-B2,B2,B2,
63-2,TA.PRPFPRG.INT.AFF,TENSE/ASPECT: PRESENT PERFECT PROGRESSIVE,AFF. INT.,,,B1-B2,B1,B2,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
63-3,TA.PRPFPRG.INT.NEG,TENSE/ASPECT: PRESENT PERFECT PROGRESSIVE,NEG. INT.,,,B1-B2,N/A,B2,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
64,TA.PAST.be.AFF,TENSE/ASPECT: PAST (BE),AFF. DEC.,A1.3,A1,A1-C1,A1,,現在進行・受動態も含まれる;過去進行・受動態も含まれる
64-1,TA.PAST.be.NEG,TENSE/ASPECT: PAST (BE),NEG. DEC.,A2.1,A1,A1-C1,A1,,現在進行・受動態も含まれる;過去進行・受動態も含まれる
64-2,TA.PAST.be.INT.AFF,TENSE/ASPECT: PAST (BE),AFF. INT.,,A1,A1-C1,A1,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;過去進行・受動態も含まれる
64-3,TA.PAST.be.INT.NEG,TENSE/ASPECT: PAST (BE),NEG. INT.,,,A1-C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;過去進行・受動態も含まれる
65,TA.PAST.do.AFF,TENSE/ASPECT: PRESENT (lexical verbs),AFF. DEC.,A1.3,A1,A1-C1,A1-C1,,名詞句・代名詞に続く一般動詞(be/do/have以外)に限定
65-1,TA.PAST.do.NEG,TENSE/ASPECT: PRESENT (lexical verbs),NEG. DEC.,A2.1,A2,A1-C1,A2-B2,,名詞句・代名詞に続くものに限定
65-2,TA.PAST.do.INT.AFF,TENSE/ASPECT: PRESENT (lexical verbs),AFF. INT.,A2.1,A2,A1-C1,A2-C1,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
65-3,TA.PAST.do.INT.NEG,TENSE/ASPECT: PRESENT (lexical verbs),NEG. INT.,,,A1-C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
66,TA.PASTPRG.AFF,TENSE/ASPECT: PAST PROGRESSIVE,AFF. DEC.,A2.1,A2,A2-C1,A2-C2,,be going toを除く
66-1,TA.PASTPRG.NEG,TENSE/ASPECT: PAST PROGRESSIVE,NEG. DEC.,,B1,A2-C1,B1,,be going toを除く
66-2,TA.PASTPRG.INT.AFF,TENSE/ASPECT: PAST PROGRESSIVE,AFF. INT.,,,A2-C1,B1,,be going toを除く;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
66-3,TA.PASTPRG.INT.NEG,TENSE/ASPECT: PAST PROGRESSIVE,NEG. INT.,,,A2-C1,N/A,,be going toを除く;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
67,TA.PASTPF.AFF,TENSE/ASPECT: PAST PERFECT,AFF. DEC.,B1.2,B1,B1-C1,B1-C2,,過去完了進行も含まれる
67-1,TA.PASTPF.NEG,TENSE/ASPECT: PAST PERFECT,NEG. DEC.,,B2,B1-C1,B1,,過去完了進行も含まれる
67-2,TA.PASTPF.INT.AFF,TENSE/ASPECT: PAST PERFECT,AFF. INT.,,,B1-C1,B2,,過去完了進行も含まれる;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;過去分詞がV.Dと誤認識されていることもある
67-3,TA.PASTPF.INT.NEG,TENSE/ASPECT: PAST PERFECT,NEG. INT.,,,B1-C1,N/A,,過去完了進行も含まれる;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;過去分詞がV.Dと誤認識されていることもある
68,TA.PASTPFPRG.AFF,TENSE/ASPECT: PAST PERFECT PROGRESSIVE,AFF. DEC.,,B2,B2,B1-B2,,
68-1,TA.PASTPFPRG.NEG,TENSE/ASPECT: PAST PERFECT PROGRESSIVE,NEG. DEC.,,,B2,B2,,
68-2,TA.PASTPFPRG.INT.AFF,TENSE/ASPECT: PAST PERFECT PROGRESSIVE,AFF. INT.,,,B2,C2,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
68-3,TA.PASTPFPRG.INT.NEG,TENSE/ASPECT: PAST PERFECT PROGRESSIVE,NEG. INT.,,,B2,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
69,TA.FUT.AFF,TENSE/ASPECT: FUTURE,AFF. DEC.,A2.1,A1,A1-C1,A2-B2,,willとam/is/are going to
69-1,TA.FUT.NEG,TENSE/ASPECT: FUTURE,NEG. DEC.,B1.1,A2,A1-C1,"A2, C1",,willとam/is/are going to
69-2,TA.FUT.INT.AFF,TENSE/ASPECT: FUTURE,AFF. INT.,,A2,A1-C1,A2,,willとam/is/are going to;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
69-3,TA.FUT.INT.NEG,TENSE/ASPECT: FUTURE,NEG. INT.,,,A1-C1,N/A,,willとam/is/are going to;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
70,TA.FUTPRG.AFF,TENSE/ASPECT: FUTURE,AFF. DEC.,B2.1,B2,B1-C1,A2-C1,,
70-1,TA.FUTPRG.NEG,TENSE/ASPECT: FUTURE,NEG. DEC.,,,B1-C1,B1,,
70-2,TA.FUTPRG.INT.AFF,TENSE/ASPECT: FUTURE PROGRESSIVE,AFF. INT.,,,B1-C1,B2,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
70-3,TA.FUTPRG.INT.NEG,TENSE/ASPECT: FUTURE PROGRESSIVE,NEG. INT.,,,B1-C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
71,TA.FUTPF.AFF,TENSE/ASPECT: FUTURE PERFECT,AFF. DEC.,,B2,B2-C1,B2-C1,,未来完了進行も含まれる
71-1,TA.FUTPF.NEG,TENSE/ASPECT: FUTURE PERFECT,NEG. DEC.,,,B2-C1,B2,,未来完了進行も含まれる
71-2,TA.FUTPF.INT.AFF,TENSE/ASPECT: FUTURE PERFECT,AFF. INT.,,,B2-C1,C2,,未来完了進行も含まれる;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
71-3,TA.FUTPF.INT.NEG,TENSE/ASPECT: FUTURE PERFECT,NEG. INT.,,,B2-C1,N/A,,未来完了進行も含まれる;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
72,TA.FUTPFPRG.AFF,TENSE/ASPECT: FUTURE PERFECT PROGRESSIVE,AFF. DEC.,,,B2-C1,B2-C2,,
72-1,TA.FUTPFPRG.NEG,TENSE/ASPECT: FUTURE PERFECT PROGRESSIVE,NEG. DEC.,,,B2-C1,B2,,
72-2,TA.FUTPFPRG.INT.AFF,TENSE/ASPECT: FUTURE PERFECT PROGRESSIVE,AFF. INT.,,,B2-C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
72-3,TA.FUTPFPRG.INT.NEG,TENSE/ASPECT: FUTURE PERFECT PROGRESSIVE,NEG. INT.,,,B2-C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
73,PASS.PRESENT,PASSIVE: PRESENT,AFF. DEC.,A1.2,A1,,A2-B2,A2-B1,
73-1,PASS.PRESENT.NEG,PASSIVE: PRESENT,NEG. DEC.,B2.1,B2,,B1,A2-B1,
73-2,PASS.PRESENT.INT.AFF,PASSIVE: PRESENT,AFF. INT.,,,,N/A,A2-B1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
73-3,PASS.PRESENT.INT.NEG,PASSIVE: PRESENT,NEG. INT.,,,,N/A,A2-B1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
74,PASS.PRSPRG.AFF,PASSIVE: PRESENT PROGRESSIVE,AFF. DEC.,,B2,B2-C1,A2-B2,C1,
74-1,PASS.PRSPRG.NEG,PASSIVE: PRESENT PROGRESSIVE,NEG. DEC.,,,B2-C1,"B2, C1",C1,
74-2,PASS.PRSPRG.INT.AFF,PASSIVE: PRESENT PROGRESSIVE,AFF. INT.,,,B2-C1,N/A,C1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
74-3,PASS.PRSPRG.INT.NEG,PASSIVE: PRESENT PROGRESSIVE,NEG. INT.,,,B2-C1,N/A,C1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
75,PASS.PRSPF.AFF,PASSIVE: PRESENT PERFECT,AFF. DEC.,B2.1,B2,B2-C1,A2-B2,A2,現在完了進行の受動態は省略
75-1,PASS.PRSPF.NEG,PASSIVE: PRESENT PERFECT,NEG. DEC.,,,B2-C1,B2,A2,現在完了進行の受動態は省略
75-2,PASS.PRSPF.INT.AFF,PASSIVE: PRESENT PERFECT,AFF. INT.,,,B2-C1,N/A,A2,現在完了進行の受動態は省略;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
75-3,PASS.PRSPF.INT.NEG,PASSIVE: PRESENT PERFECT,NEG. INT.,,,B2-C1,N/A,A2,現在完了進行の受動態は省略;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
76,PASS.PAST.AFF,PASSIVE: PAST,AFF. DEC.,A2.1,A2,B1-C1,A2-B2,,
76-1,PASS.PAST.NEG,PASSIVE: PAST,NEG. DEC.,,B1,B1-C1,B2,,
76-2,PASS.PAST.INT.AFF,PASSIVE: PAST,AFF. INT.,,,B1-C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
76-3,PASS.PAST.INT.NEG,PASSIVE: PAST,NEG. INT.,,,B1-C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
77,PASS.PASTPRG.AFF,PASSIVE: PAST PROGRESSIVE,AFF. DEC.,,,B2-C1,A2-B2,,
77-1,PASS.PASTPRG.NEG,PASSIVE: PAST PROGRESSIVE,NEG. DEC.,,,B2-C1,B2,,
77-2,PASS.PASTPRG.INT.AFF,PASSIVE: PAST PROGRESSIVE,AFF. INT.,,,B2-C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
77-3,PASS.PASTPRG.INT.NEG,PASSIVE: PAST PROGRESSIVE,NEG. INT.,,,B2-C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
78,PASS.PASTPF.AFF,PASSIVE: PAST PERFECT,AFF. DEC.,,B2,B2-C1,A2-B2,B2,過去完了進行の受動態は省略
78-1,PASS.PASTPF.NEG,PASSIVE: PAST PERFECT,NEG. DEC.,,,B2-C1,B2,B2,過去完了進行の受動態は省略
78-2,PASS.PASTPF.INT.AFF,PASSIVE: PAST PERFECT,AFF. INT.,,,B2-C1,N/A,B2,過去完了進行の受動態は省略;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
78-3,PASS.PASTPF.INT.NEG,PASSIVE: PAST PERFECT,NEG. INT.,,,B2-C1,N/A,B2,過去完了進行の受動態は省略;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
79,PASS.FUT.AFF,PASSIVE: FUTURE,AFF. DEC.,B2.1,B1,C1,B2,,willに限定
79-1,PASS.FUT.NEG,PASSIVE: FUTURE,NEG. DEC.,,,C1,N/A,,willに限定
79-2,PASS.FUT.INT.AFF,PASSIVE: FUTURE,AFF. INT.,,,C1,N/A,,willに限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
79-3,PASS.FUT.INT.NEG,PASSIVE: FUTURE,NEG. INT.,,,C1,N/A,,willに限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
80,PASS.FUTPRG.AFF,PASSIVE: FUTURE PROGRESSIVE,AFF. DEC.,,,C1,B1,,
80-1,PASS.FUTPRG.NEG,PASSIVE: FUTURE PROGRESSIVE,NEG. DEC.,,,C1,N/A,,
80-2,PASS.FUTPRG.INT.AFF,PASSIVE: FUTURE PROGRESSIVE,AFF. INT.,,,C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
80-3,PASS.FUTPRG.INT.NEG,PASSIVE: FUTURE PROGRESSIVE,NEG. INT.,,,C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
81,PASS.FUTPF.AFF,PASSIVE: FUTURE PERFECT,AFF. DEC.,,,C1,N/A,,未来完了進行の受動態は省略
81-1,PASS.FUTPF.NEG,PASSIVE: FUTURE PERFECT,NEG. DEC.,,,C1,N/A,,未来完了進行の受動態は省略
81-2,PASS.FUTPF.INT.AFF,PASSIVE: FUTURE PERFECT,AFF. INT.,,,C1,N/A,,未来完了進行の受動態は省略;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
